,Label,Year,Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
78,ACT,2023,537,1724,1864,2866,414,1351,3528,7126,1833,131,710,3028,492,"Western Australia, Australia",-35.4883502,149.0026942,-35.9205295,-35.124413,148.7627987,149.3992971,"Australian Capital Territory, Australia",relation,2354197,nominatim,ok,state
79,ACT,2024,529,1757,1923,3289,424,1407,3547,7243,1950,131,730,3210,499,"Western Australia, Australia",-35.4883502,149.0026942,-35.9205295,-35.124413,148.7627987,149.3992971,"Australian Capital Territory, Australia",relation,2354197,nominatim,ok,state
80,NSW,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
81,NSW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
82,NSW,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
83,NSW,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
84,NSW,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
85,NSW,2020,22312,32030,22603,53618,7776,34593,68074,88817,27045,2084,9792,36437,8221,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
86,NSW,2021,23012,34411,23990,50697,8061,36473,70377,92827,28263,2068,10414,38989,8537,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
87,NSW,2022,23166,36145,24672,49739,8295,38898,73882,96509,29393,2143,10982,41726,8998,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
88,NSW,2023,23076,35976,24666,52928,8287,40068,74643,97792,30165,2141,11146,43791,9256,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
89,NSW,2024,23211,36311,25208,57323,8311,42352,77150,100690,30954,2198,11447,46691,9439,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
90,NSW,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
91,NSW,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
92,NSW,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
93,NSW,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
94,NSW,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
95,NSW,2020,5724,13744,11128,12768,1286,5948,20665,20353,7768,549,3071,13962,2980,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
96,NSW,2021,5867,14256,11918,12747,1364,6215,21386,21568,8437,560,3277,15004,3248,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
97,NSW,2022,6008,14753,12372,13256,1498,6596,22631,23106,9385,579,3516,16275,3495,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
98,NSW,2023,5970,14591,12185,13410,1542,6769,23013,23823,9871,606,3602,17335,3679,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
99,NSW,2024,5886,14314,12034,13850,1618,7055,23623,24537,10154,627,3664,18979,3800,"Western Australia, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
100,VIC,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
101,VIC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
102,VIC,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
103,VIC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
104,VIC,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
105,VIC,2020,19041,31854,22225,53285,5811,26546,56859,71324,24070,1638,8073,32395,7698,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
106,VIC,2021,19605,35025,23417,51693,6043,27692,58511,74094,25278,1617,8434,34577,8028,"Western Australia, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
